Language,Language (local),Wiki,Articles,Wiki Size (bytes),Uncompressed Wiki Size (bytes),Tokens,In mBERT?
Somali,Soomaaliga,so,"5,839","8,779,869","8,433,842","1,435,422",n
Turkmen,Türkmençe,tk,"5,809","4,988,308","9,133,928","1,359,768",n
West Flemish,West-Vlams,vls,"7,243","6,510,423","6,974,625","1,359,491",n
Yoruba,Yorùbá,yo,"32,748","12,528,509","6,426,868","1,343,939",y
Zazaki,Zazaki,diq,"34,020","9,602,692","7,289,270","1,332,637",n
Amharic,አማርኛ,am,"14,885","6,559,239","13,725,042","1,331,164",n
Central Bikol,Bikol Central,bcl,"10,559","9,824,341","7,202,032","1,302,593",n
Wu,吴语,wuu,"40,056","13,988,947","15,568,299","1,266,690",n
Upper Sorbian,hornjoserbsce,hsb,"13,629","9,878,115","7,215,410","1,230,200",n
Navajo,Diné bizaad,nv,"15,865","3,473,064","7,973,704","1,198,761",n
Maithili,मैथिली,mai,"13,606","11,486,392","11,495,633","1,178,858",n
Mingrelian,მარგალური,xmf,"14,973","10,786,081","18,926,929","1,172,011",n
Veps,vepsän kel’,vep,"6,606","5,296,384","6,836,190","1,157,753",n
Mon,ဘာသာ မန်,mnw,662,"4,271,320","10,796,736","1,144,378",n
Nahuatl,Nāhuatl,nah,"6,993","4,152,640","5,785,626","1,053,819",n
Quechua,Runa Simi,qu,"22,701","11,167,072","5,687,739","962,373",n
Mazanderani,مازِرونی,mzn,"13,179","6,281,350","7,706,983","952,614",n
Classical Chinese,文言,zh-classical,"10,459","13,582,065","8,396,456","920,864",n
Corsican,corsu,co,"5,839","4,299,835","4,425,669","909,976",n
Bhojpuri,भोजपुरी,bh,"7,352","14,176,035","7,838,933","899,406",n
Tarantino,tarandíne,roa-tara,"9,302","5,812,833","4,290,758","884,301",n
Hausa,Hausa,ha,"5,380","3,642,415","4,462,198","873,159",n
Kotava,Kotava,avk,"9,924","3,876,997","4,394,254","825,527",n
Ligurian,Ligure,lij,"4,296","3,700,537","3,884,742","821,012",n
Tuvan,тыва дыл,tyv,"2,788","4,470,973","9,131,731","809,251",n
North Frisian,Nordfriisk,frr,"11,263","8,955,699","4,070,930","807,187",n
Neapolitan,Napulitano,nap,"14,611","4,830,192","3,545,083","783,519",n
Kapampangan,Kapampangan,pam,"8,695","8,733,784","4,209,448","755,435",n
Sakizaya,Sakizaya,szy,"1,813","1,774,855","3,936,386","730,973",n
Dhivehi,ދިވެހިބަސް,dv,"2,958","4,298,448","5,900,859","730,413",n
Meadow Mari,олык марий,mhr,"10,205","5,704,308","7,126,865","708,616",n
Samogitian,žemaitėška,bat-smg,"16,895","4,312,243","3,903,267","670,025",n
Zeelandic,Zeêuws,zea,"4,741","2,355,148","3,258,316","669,639",n
Rusyn,русиньскый,rue,"7,834","4,871,935","6,600,794","660,324",n
Guarani,Avañe'ẽ,gn,"3,880","3,534,915","3,429,274","648,651",n
Ladino,Ladino,lad,"3,554","3,143,355","3,385,681","641,452",n
Ossetian,Ирон,os,"12,467","7,504,139","6,439,137","621,314",n
Wolof,Wolof,wo,"1,422","1,991,339","2,783,878","615,141",n
Manx,Gaelg,gv,"5,012","5,003,361","3,092,521","610,774",n
Luganda,Luganda,lg,"1,199","1,623,678","3,508,388","607,041",n
N'Ko,ߒߞߏ,nqo,740,"948,163","3,803,092","591,973",n
Lezgian,лезги,lez,"4,122","4,461,622","6,587,706","584,108",n
Banyumasan,Basa Banyumasan,map-bms,"13,383","4,334,704","3,604,952","583,358",n
Friulian,furlan,fur,"3,420","2,304,359","2,787,747","571,064",n
Saterland Frisian,Seeltersk,stq,"4,025","3,247,652","3,007,988","544,011",n
Lao,ລາວ,lo,"3,567","4,473,667","7,854,362","536,868",n
Extremaduran,estremeñu,ext,"3,223","2,383,014","2,763,886","528,096",n
Erzya,эрзянь,myv,"6,194","9,491,959","5,328,108","519,328",n
Fiji Hindi,Fiji Hindi,hif,"9,801","4,635,195","2,535,329","491,384",n
Balinese,Basa Bali,ban,"4,136","4,592,837","2,846,495","486,666",n
Kabiye,Kabɩyɛ,kbp,"1,612","1,264,837","3,114,561","486,623",n
Māori,Māori,mi,"7,168","1,843,752","2,163,098","483,362",n
Kabyle,Taqbaylit,kab,"4,838","3,209,906","2,481,147","471,773",n
Tulu,ತುಳು,tcy,"1,402","3,690,928","4,724,619","469,443",n
Palatinate German,Pälzisch,pfl,"2,681","3,496,734","2,694,778","467,383",n
Hill Mari,кырык мары,mrj,"10,276","2,930,975","4,235,839","449,391",n
Ripuarian,Ripoarisch,ksh,"2,878","3,045,711","2,294,196","448,092",n
Eastern Min,Mìng-dĕ̤ng-ngṳ̄,cdo,"15,490","4,095,572","2,474,625","422,070",n
Interlingue,Interlingue,ie,"5,118","1,963,582","2,237,940","421,340",n
Doteli,डोटेली,dty,"3,286","6,848,329","4,112,258","416,244",n
Buryat,буряад,bxr,"2,172","3,215,092","4,674,172","416,041",n
Gilaki,گیلکی,glk,"6,029","2,000,503","3,383,525","397,932",n
Komi,коми,kv,"5,348","3,289,910","3,715,687","384,743",n
Norman,Nouormand,nrm,"4,516","1,640,793","1,752,533","380,718",n
Kashubian,kaszëbsczi,csb,"5,352","1,967,693","2,103,888","379,090",n
Northern Luri,لۊری شومالی,lrc,"5,884","6,164,126","3,116,210","375,500",n
Acehnese,Acèh,ace,"10,361","2,904,834","2,127,810","370,318",n
Banjar,Banjar,bjn,"3,281","3,280,988","2,251,763","369,358",n
Chavacano,Chavacano de Zamboanga,cbk-zam,"3,096","3,201,705","1,964,243","366,905",n
Picard,Picard,pcd,"4,871","4,591,388","1,724,394","366,429",n
